AID	TelemDate	TimeLag	AEA_X	AEA_Y
56B	2010-05-12 06:00:00.000	60	-1056698.61850813	2495627.05869616
56B	2010-05-12 07:00:00.000	60	-1056699.71537737	2495619.34281029
56B	2010-05-12 08:00:00.000	60	-1056729.28418352	2495613.42537554
56B	2010-05-12 09:00:00.000	60	-1056736.47122729	2495652.68166782
56B	2010-05-12 10:00:00.000	60	-1056759.9473026	2495611.03725989
56B	2010-05-12 11:00:00.000	60	-1056748.21457234	2495609.36928664
56B	2010-05-12 12:00:00.000	60	-1056112.24651256	2495839.47657083
56B	2010-05-12 13:00:00.000	60	-1056129.75415815	2495918.43193736
56B	2010-05-12 14:00:00.000	60	-1056117.71702057	2495868.3670145
56B	2010-05-12 15:00:00.000	60	-1056283.74020773	2495615.32302398
56B	2010-05-12 16:00:00.000	60	-1056663.76273617	2495490.53189907
56B	2010-05-12 17:00:00.000	60	-1057363.15478992	2495218.87732799
56B	2010-05-12 18:00:00.000	60	-1057616.84840193	2494961.45203707
56B	2010-05-12 19:00:00.000	60	-1057911.28323738	2495012.34337416
56B	2010-05-12 20:00:00.000	60	-1057959.16959912	2494984.29594175
56B	2010-05-12 21:00:00.000	60	-1058042.58851561	2494914.07299472
56B	2010-05-12 22:00:00.000	60	-1058035.55035393	2494907.44833494
56B	2010-05-12 23:00:00.000	60	-1058032.57394132	2494917.14605323
56B	2010-05-13 00:00:00.000	60	-1058039.61851029	2494906.90274667
56B	2010-05-13 01:00:00.000	60	-1058042.27903754	2494905.03221233
56B	2010-05-13 02:00:00.000	60	-1058040.08700847	2494909.21860835
56B	2010-05-13 03:00:00.000	60	-1058755.42315402	2494235.07893276
56B	2010-05-13 04:00:00.000	60	-1059129.20283469	2494317.55788136
56B	2010-05-13 05:00:00.000	60	-1059991.76387517	2494717.15160987
56B	2010-05-13 06:00:00.000	60	-1060491.83974036	2494719.86710245
56B	2010-05-13 07:00:00.000	60	-1060780.19640158	2494746.38634827
56B	2010-05-13 08:00:00.000	60	-1060774.72459026	2494739.98226946
56B	2010-05-13 09:00:00.000	60	-1060835.10031312	2494769.96604564
56B	2010-05-13 10:00:00.000	60	-1060889.72880933	2494952.08423371
56B	2010-05-13 11:00:00.000	60	-1060966.39792574	2494951.7793313
56B	2010-05-13 12:00:00.000	60	-1060998.78053429	2494959.7749859
56B	2010-05-13 13:00:00.000	60	-1061021.89446812	2495015.933073
56B	2010-05-13 14:00:00.000	60	-1061043.90672975	2495079.80662054
56B	2010-05-13 15:00:00.000	60	-1061017.41579784	2495142.38055684
